Record Length,4096,,Source,CH1,CH2
Sample Interval,0.0000014648439,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00409600031,0.69600,0.02000
Vertical Scale,CH1:0.20 CH2:0.05,,-0.00409400031,0.68000,0.01400
Vertical Offset,CH1:-0.19200 CH2:-0.09800,,-0.00409200031,0.70400,0.01200
Horizontal Units,s,,-0.00409000031,0.68800,0.00800
Horizontal Scale,0.0005000000,,-0.00408800031,0.68000,0.01200
Model Number,WaveAce112,,-0.00408600031,0.66400,0.02000
Serial Number,LCRY2101C02511,,-0.00408400031,0.68800,0.02000
Software Version,2.07.02.06,,-0.00408200031,0.64000,0.01800
,,,-0.00408000031,0.68000,0.02000
,,,-0.00407800031,0.65600,0.01800
,,,-0.00407600031,0.66400,0.01200
,,,-0.00407400031,0.65600,0.02200
,,,-0.00407200031,0.66400,0.01200
,,,-0.00407000031,0.65600,0.02000
,,,-0.00406800031,0.65600,0.00600
,,,-0.00406600031,0.64800,0.02600
,,,-0.00406400031,0.66400,0.00600
,,,-0.00406200031,0.62400,0.02800
,,,-0.00406000031,0.64000,0.01400
,,,-0.00405800063,0.63200,0.01800
,,,-0.00405600063,0.64800,0.00400
,,,-0.00405400063,0.64000,0.01600
,,,-0.00405200063,0.63200,0.00600
,,,-0.00405000063,0.62400,0.01800
,,,-0.00404800063,0.65600,0.00800
,,,-0.00404600063,0.62400,0.01200
,,,-0.00404400063,0.64000,0.01200
,,,-0.00404200063,0.61600,0.00600
,,,-0.00404000063,0.63200,0.01000
,,,-0.00403800063,0.60800,0.00800
,,,-0.00403600031,0.62400,0.00600
,,,-0.00403400031,0.64000,0.00600
,,,-0.00403200031,0.63200,0.01400
,,,-0.00403000031,0.61600,0.00600
,,,-0.00402800031,0.62400,0.02000
,,,-0.00402600031,0.60800,0.00800
,,,-0.00402400031,0.60800,0.01600
,,,-0.00402200031,0.61600,0.00600
,,,-0.00402000031,0.60800,0.01800
,,,-0.00401800031,0.60800,0.01400
,,,-0.00401600031,0.61600,0.01400
,,,-0.00401400031,0.60800,0.01600
,,,-0.00401200031,0.60000,0.01000
,,,-0.00401000031,0.59200,0.01400
,,,-0.00400800031,0.60000,0.00
,,,-0.00400600031,0.58400,0.01400
,,,-0.00400400031,0.56800,0.01200
,,,-0.00400200031,0.52800,0.01800
,,,-0.00400000031,0.53600,0.01000
,,,-0.00399800031,0.56000,0.01600
,,,-0.00399600031,0.62400,0.00800
,,,-0.00399400000,0.59200,0.01000
,,,-0.00399200000,0.60000,0.00600
,,,-0.00399000000,0.58400,0.01800
,,,-0.00398800000,0.59200,0.00800
,,,-0.00398600000,0.56800,0.01400
,,,-0.00398400000,0.56800,0.01000
,,,-0.00398200000,0.56000,0.01600
,,,-0.00398000000,0.56800,0.01200
,,,-0.00397800063,0.56000,0.00800
,,,-0.00397600063,0.56800,0.00400
,,,-0.00397400031,0.56000,0.00400
,,,-0.00397200031,0.56800,0.00400
,,,-0.00397000031,0.56000,0.00400
,,,-0.00396800031,0.56800,-0.00200
,,,-0.00396600031,0.56000,0.01600
,,,-0.00396400031,0.55200,0.00200
,,,-0.00396200031,0.54400,0.02000
,,,-0.00396000031,0.55200,0.00200
,,,-0.00395800031,0.54400,0.01800
,,,-0.00395600031,0.54400,0.00200
,,,-0.00395400031,0.53600,0.01600
,,,-0.00395200031,0.54400,0.01200
,,,-0.00395000031,0.52800,0.01400
,,,-0.00394800031,0.52800,0.01600
,,,-0.00394600031,0.52000,0.01600
,,,-0.00394400031,0.52800,0.01200
,,,-0.00394200031,0.52000,0.01400
,,,-0.00394000031,0.55200,0.00600
,,,-0.00393800031,0.52800,0.01800
,,,-0.00393600031,0.53600,0.01600
,,,-0.00393400000,0.52800,0.02400
,,,-0.00393200000,0.52800,0.00400
,,,-0.00393000000,0.51200,0.01200
,,,-0.00392800000,0.53600,0.00400
,,,-0.00392600000,0.51200,0.00800
,,,-0.00392400000,0.53600,0.00
,,,-0.00392200000,0.50400,0.01000
,,,-0.00392000000,0.52800,-0.00200
,,,-0.00391800063,0.51200,0.00400
,,,-0.00391600063,0.52800,0.00400
,,,-0.00391400031,0.51200,0.01000
,,,-0.00391200031,0.52800,0.00600
,,,-0.00391000031,0.51200,0.00800
